2017-07-20 01:39:45,297 [AWT-EventQueue-0] INFO  marytts.HMMSynthesizer Starting power-on self test.
2017-07-20 01:39:45,297 [AWT-EventQueue-0] INFO  marytts.HMMSynthesizer Power-on self test complete.
2017-07-20 01:39:45,297 [AWT-EventQueue-0] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2017-07-20 01:39:45,297 [AWT-EventQueue-0] INFO  marytts.TextToMaryXML Starting power-on self test.
2017-07-20 01:39:45,312 [AWT-EventQueue-0] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2017-07-20 01:39:45,312 [AWT-EventQueue-0] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2017-07-20 01:39:45,312 [AWT-EventQueue-0] INFO  marytts.TextToMaryXML Power-on self test complete.
2017-07-20 01:39:45,609 [AWT-EventQueue-0] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2017-07-20 01:39:45,609 [AWT-EventQueue-0] INFO  marytts.SableParser Starting power-on self test.
2017-07-20 01:39:45,609 [AWT-EventQueue-0] INFO  marytts.SableParser Power-on self test complete.
2017-07-20 01:39:45,875 [AWT-EventQueue-0] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2017-07-20 01:39:45,875 [AWT-EventQueue-0] INFO  marytts.SSMLParser Starting power-on self test.
2017-07-20 01:39:45,875 [AWT-EventQueue-0] INFO  marytts.SSMLParser Power-on self test complete.
2017-07-20 01:39:45,969 [AWT-EventQueue-0] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2017-07-20 01:39:45,969 [AWT-EventQueue-0] INFO  marytts.APMLParser Starting power-on self test.
2017-07-20 01:39:45,969 [AWT-EventQueue-0] INFO  marytts.APMLParser Power-on self test complete.
2017-07-20 01:39:46,031 [AWT-EventQueue-0] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2017-07-20 01:39:46,031 [AWT-EventQueue-0] INFO  marytts.EmotionmlParser Starting power-on self test.
2017-07-20 01:39:46,031 [AWT-EventQueue-0] INFO  marytts.EmotionmlParser Power-on self test complete.
2017-07-20 01:39:46,031 [AWT-EventQueue-0] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.JTokeniser Starting power-on self test.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.JTokeniser Power-on self test complete.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.DummyTokens2Words Starting power-on self test.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.DummyTokens2Words Power-on self test complete.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.Prosody Starting power-on self test.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.Prosody Power-on self test complete.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.PronunciationModel Starting power-on self test.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.PronunciationModel Power-on self test complete.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.TargetFeatureLister Starting power-on self test.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.TargetFeatureLister Power-on self test complete.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.TargetFeatureLister Starting power-on self test.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.TargetFeatureLister Power-on self test complete.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.AcousticModeller Starting power-on self test.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.AcousticModeller Power-on self test complete.
2017-07-20 01:39:46,109 [AWT-EventQueue-0] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
